Vehicle_ID,Model,Year,BodyStyle,Platform,DedicatedBEV,Manufacturer,Origin,Market,Primary_Body_Style,Model_Age_Years,Launch_Era,Region,Is_Dedicated_BEV,Manufacturer_Group,Is_SUV_Crossover
WIKI1154,Volvo EX90,2024,Crossover SUV,SPA2,Yes,Volvo Cars,Sweden,Global,Crossover SUV,2,2023-2024 (Acceleration),Europe,1.0,Geely Group,1
WIKI1155,Aeolus Sky EV01,2023,Crossover SUV,,,Dongfeng Motor,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Dongfeng Motor,1
WIKI1156,Aeolus Yixuan,2019,Sedan,,,Dongfeng Motor,China,China,Sedan,7,2016-2019 (Growth),Asia-Pacific,,Dongfeng Motor,0
WIKI1157,Aeolus Yixuan Max,2021,Sedan,,,Dongfeng Motor,China,China,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,,Dongfeng Motor,0
WIKI1158,Aion i60,2025,Crossover SUV,,,GAC Group,China,China,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,,GAC Group,1
WIKI1159,Aion LX,2019,Crossover SUV,,,GAC Group,China,China,Crossover SUV,7,2016-2019 (Growth),Asia-Pacific,,GAC Group,1
WIKI1160,Aion S,2019,Sedan,,,GAC Group,China,China,Sedan,7,2016-2019 (Growth),Asia-Pacific,,GAC Group,0
WIKI1161,Aion S Plus / ES,2021,Sedan,,,GAC Group,China,China,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,,GAC Group,0
WIKI1162,Aion V,2020,Crossover SUV,,,GAC Group,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,GAC Group,1
WIKI1163,Aion Y,2021,Crossover SUV,,,GAC Group,China,China,Crossover SUV,5,2020-2022 (Mainstream),Asia-Pacific,,GAC Group,1
WIKI1164,AITO M5,2022,Crossover SUV,,,Seres Auto,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,Seres Auto,1
WIKI1165,AITO M7,2025,Crossover SUV,,,Seres Auto,China,China,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,,Seres Auto,1
WIKI1166,AITO M9,2023,Crossover SUV,,,Seres Auto,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Seres Auto,1
WIKI1167,Arcfox alphaS5,2024,Sedan,,,BAIC Group,China,China,Sedan,2,2023-2024 (Acceleration),Asia-Pacific,,BAIC Group,0
WIKI1168,Arcfox alphaT5,2024,Crossover SUV,,,BAIC Group,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,BAIC Group,1
WIKI1169,Avatr 06,2025,Sedan,,,Avatr Technology,China,China,Sedan,1,2025-2026 (Latest),Asia-Pacific,,Avatr Technology,0
WIKI1170,Avatr 07,2024,Crossover SUV,,,Avatr Technology,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,Avatr Technology,1
WIKI1171,Avatr 11,2022,Crossover SUV,,,Avatr Technology,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,Avatr Technology,1
WIKI1172,Avatr 12,2023,Sedan,,,Avatr Technology,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Avatr Technology,0
WIKI1173,Baojun Yunduo / Wuling Cloud EV,2023,Hatchback,,,SAIC-GM-Wuling,China,China,Hatchback,3,2023-2024 (Acceleration),Asia-Pacific,,General Motors,0
WIKI1174,BYD Atto 3 / Yuan Plus,2022,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,1
WIKI1175,BYD Dolphin,2021,Hatchback,,,BYD Auto,China,China,Hatchback,5,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,0
WIKI1176,BYD e2,2019,Hatchback,,,BYD Auto,China,China,Hatchback,7,2016-2019 (Growth),Asia-Pacific,,BYD Auto,0
WIKI1177,BYD Han EV,2020,Sedan,,,BYD Auto,China,China,Sedan,6,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,0
WIKI1178,BYD Qin Plus EV,2021,Sedan,,,BYD Auto,China,China,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,0
WIKI1179,BYD Seagull / Dolphin Mini/Surf / Atto 1,2023,Hatchback,,,BYD Auto,China,China,Hatchback,3,2023-2024 (Acceleration),Asia-Pacific,,BYD Auto,0
WIKI1180,BYD Seal,2022,Sedan,,,BYD Auto,China,China,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,0
WIKI1181,BYD Sealion 07 EV / Sealion 7,2024,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,BYD Auto,1
WIKI1182,BYD Song L EV,2023,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,BYD Auto,1
WIKI1183,BYD Song Plus EV / Seal U,2020,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,1
WIKI1184,BYD Tang EV / Tan EV,2015,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,11,2010-2015 (Early),Asia-Pacific,,BYD Auto,1
WIKI1185,BYD Yuan Up/Pro / S1 Pro / Atto 2,2024,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,BYD Auto,1
WIKI1186,Changan Lumin,2022,Hatchback,,,Changan Automobile,China,China,Hatchback,4,2020-2022 (Mainstream),Asia-Pacific,,Changan Automobile,0
WIKI1187,Changan Nevo A07,2023,Sedan,,,Changan Automobile,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Changan Automobile,0
WIKI1188,Chery eQ7 / Aiqar eQ7,2023,Crossover SUV,,,Chery,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Chery,1
WIKI1189,Chery Omoda E5,2023,Crossover SUV,,,Chery,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Chery,1
WIKI1190,Deepal L07,2022,Sedan,,,Changan Automobile,China,China,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,,Changan Automobile,0
WIKI1191,Deepal S05,2024,Crossover SUV,,,Changan Automobile,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,Changan Automobile,1
WIKI1192,Deepal S07,2023,Crossover SUV,,,Changan Automobile,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Changan Automobile,1
WIKI1193,Denza D9,2022,MPV/minivan,,,BYD Auto,China,China,MPV,4,2020-2022 (Mainstream),Asia-Pacific,,BYD Auto,0
WIKI1194,Denza N7,2023,Crossover SUV,,,BYD Auto,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,BYD Auto,1
WIKI1195,Dongfeng eπ 007,2024,Sedan,,,Dongfeng Motor,China,China,Sedan,2,2023-2024 (Acceleration),Asia-Pacific,,Dongfeng Motor,0
WIKI1196,Dongfeng eπ 008,2024,Crossover SUV,,,Dongfeng Motor,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,Dongfeng Motor,1
WIKI1197,Exeed Sterra ES,2023,Sedan,,,Chery,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Chery,0
WIKI1198,Firefly,2025,Hatchback,,,Nio,China,China,Hatchback,1,2025-2026 (Latest),Asia-Pacific,,Nio,0
WIKI1199,Geely Galaxy E5 / EX5,2024,Crossover SUV,,,Geely,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,Geely Group,1
WIKI1200,Geely Galaxy E8,2023,Sedan,,,Geely,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Geely Group,0
WIKI1201,Geometry A,2019,Sedan,,,Geely,China,China,Sedan,7,2016-2019 (Growth),Asia-Pacific,,Geely Group,0
WIKI1202,Geometry C,2020,Sedan,,,Geely,China,China,Sedan,6,2020-2022 (Mainstream),Asia-Pacific,,Geely Group,0
WIKI1203,Hongqi E-HS9,2020,Crossover SUV,,,FAW Group,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,FAW Group,1
WIKI1204,Hongqi E-QM5,2022,Sedan,,,FAW Group,China,China,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,,FAW Group,0
WIKI1205,Hyptec GT,2023,Sedan,,,GAC Group,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,GAC Group,0
WIKI1206,Hyptec HT,2023,Crossover SUV,,,GAC Group,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,GAC Group,1
WIKI1207,IM L7,2022,Sedan,,,IM Motors,China,China,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,,IM Motors,0
WIKI1208,IM LS6 / MG IM6,2023,Crossover SUV,,,IM Motors,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,IM Motors,1
WIKI1209,IM LS7,2022,Crossover SUV,,,IM Motors,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,IM Motors,1
WIKI1210,Leapmotor C01,2022,Sedan,,,Leapmotor,China,China,Sedan,4,2020-2022 (Mainstream),Asia-Pacific,,Leapmotor,0
WIKI1211,Leapmotor C10,2023,Crossover SUV,,,Leapmotor,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Leapmotor,1
WIKI1212,Leapmotor C11,2020,Crossover SUV,,,Leapmotor,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,Leapmotor,1
WIKI1213,Leapmotor T03,2020,Hatchback,,,Leapmotor,China,China,Hatchback,6,2020-2022 (Mainstream),Asia-Pacific,,Leapmotor,0
WIKI1214,Li Mega,2024,MPV/minivan,,,Li Auto,China,China,MPV,2,2023-2024 (Acceleration),Asia-Pacific,,Li Auto,0
WIKI1215,Luxeed S7,2023,Sedan,,,Chery,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Chery,0
WIKI1216,MG4 EV,2022,Hatchback,,,SAIC Motor,China,China,Hatchback,4,2020-2022 (Mainstream),Asia-Pacific,,SAIC Motor,0
WIKI1217,MG Cyberster,2023,Roadster,,,SAIC Motor,China,China,Roadster,3,2023-2024 (Acceleration),Asia-Pacific,,SAIC Motor,0
WIKI1218,MG ZS EV / EZS,2018,Crossover SUV,,,SAIC Motor,China,China,Crossover SUV,8,2016-2019 (Growth),Asia-Pacific,,SAIC Motor,1
WIKI1219,Neta Aya / V,2020,Crossover SUV,,,Hozon Auto,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,Hozon Auto,1
WIKI1220,Neta U / X,2020,Crossover SUV,,,Hozon Auto,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,Hozon Auto,1
WIKI1221,Nio EC6,2020,Crossover SUV,,,Nio,China,China,Crossover SUV,6,2020-2022 (Mainstream),Asia-Pacific,,Nio,1
WIKI1222,Nio ES6,2019,Crossover SUV,,,Nio,China,China,Crossover SUV,7,2016-2019 (Growth),Asia-Pacific,,Nio,1
WIKI1223,Nio ES8,2018,Crossover SUV,,,Nio,China,China,Crossover SUV,8,2016-2019 (Growth),Asia-Pacific,,Nio,1
WIKI1224,Nio ET5,2021,Sedan,,,Nio,China,China,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,,Nio,0
WIKI1225,Nio ET7,2021,Sedan,,,Nio,China,China,Sedan,5,2020-2022 (Mainstream),Asia-Pacific,,Nio,0
WIKI1226,Onvo L60,2024,Crossover SUV,,,Nio,China,China,Crossover SUV,2,2023-2024 (Acceleration),Asia-Pacific,,Nio,1
WIKI1227,Ora Good Cat / Funky Cat / 03,2020,Hatchback,,,Great Wall Motor,China,China,Hatchback,6,2020-2022 (Mainstream),Asia-Pacific,,Great Wall Motor,0
WIKI1228,Roewe Ei5 / MG5 EV,2017,Station wagon,,,SAIC Motor,China,China,Station wagon,9,2016-2019 (Growth),Asia-Pacific,,SAIC Motor,0
WIKI1229,SAIC Rising R7,2022,Crossover SUV,,,SAIC Motor,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,SAIC Motor,1
WIKI1230,Seres SF5 / A5 / 5,2019,Crossover SUV,,,Seres,China,China,Crossover SUV,7,2016-2019 (Growth),Asia-Pacific,,Seres,1
WIKI1231,Wuling Hongguang Mini EV,2020,Microcar hatchback,,,SAIC-GM-Wuling,China,China,Microcar hatchback,6,2020-2022 (Mainstream),Asia-Pacific,,General Motors,0
WIKI1232,Wuling Starlight,2023,Sedan,,,SAIC-GM-Wuling,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,General Motors,0
WIKI1233,Xiaomi SU7,2024,Sedan,,,Xiaomi Auto,China,China,Sedan,2,2023-2024 (Acceleration),Asia-Pacific,,Xiaomi Auto,0
WIKI1234,Xiaomi YU7,2025,Crossover SUV,,,Xiaomi Auto,China,China,Crossover SUV,1,2025-2026 (Latest),Asia-Pacific,,Xiaomi Auto,1
WIKI1235,XPeng G6,2023,Crossover SUV,,,XPeng,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,XPeng,1
WIKI1236,XPeng G9,2022,Crossover SUV,,,XPeng,China,China,Crossover SUV,4,2020-2022 (Mainstream),Asia-Pacific,,XPeng,1
WIKI1237,XPeng Mona M03,2024,Liftback,,,XPeng,China,China,Liftback,2,2023-2024 (Acceleration),Asia-Pacific,,XPeng,0
WIKI1238,XPeng P7,2020,Sedan,,,XPeng,China,China,Sedan,6,2020-2022 (Mainstream),Asia-Pacific,,XPeng,0
WIKI1239,Zeekr 001,2021,Shooting brake,,,Geely,China,China,Shooting brake,5,2020-2022 (Mainstream),Asia-Pacific,,Geely Group,0
WIKI1240,Zeekr 007,2023,Sedan,,,Geely,China,China,Sedan,3,2023-2024 (Acceleration),Asia-Pacific,,Geely Group,0
WIKI1241,Zeekr 009,2022,MPV/minivan,,,Geely,China,China,MPV,4,2020-2022 (Mainstream),Asia-Pacific,,Geely Group,0
WIKI1242,Zeekr X,2023,Crossover SUV,,,Geely,China,China,Crossover SUV,3,2023-2024 (Acceleration),Asia-Pacific,,Geely Group,1
